Major,Total,Rank,Major_code,Men,Women,old,Major_category,Median,Space,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,Total_bin,temp,Median_bin,old_hist_column,old_midpoint,Histogram_column,rank1,midpoint
Probation Officers and Correctional Treatment Specialists,87766.83405,171,5202,568,2270,Community and Social Service,Job can be made virtual,53000,Institutional,0.799859056,13,2101,1724,648,1293,368,0.149048198,25000,40000,986,870,622,"(124.0, 20124.0]",1,"(23500, 26000]",5,109750,36,36,50000
Sound Engineering Technicians,19760.35657,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,53000,Industrial,,,,,,,,,,,,,,,,,5,112250,37,37,50000
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",25518.13368,,,,,Production,"Cannot work remotely, essential",53200,Industrial,,,,,,,,,,,,,,,,,5,114750,38,38,50000
Geological and Petroleum Technicians,16810.1579,154,6003,4133,12117,"Life, Physical, and Social Science","Cannot work remotely, essential",53300,Lab,0.745661538,132,12870,8447,6253,6322,1465,0.102197419,22000,40000,3849,7635,2840,"(124.0, 20124.0]",1,"(28500, 31000]",5,117250,39,39,50000
Hearing Aid Specialists,8904.604497,,,,,Healthcare Practitioners and Technical,Job can be made virtual,53300,Institutional,,,,,,,,,,,,,,,,,5,119750,40,40,50000
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",44830.259,,,,,Production,"Cannot work remotely, essential",53300,Industrial,,,,,,,,,,,,,,,,,5,122250,41,41,50000
Wellhead Pumpers,14762.53846,,,,,Transportation and Material Moving,"Cannot work remotely, essential",53300,Industrial,,,,,,,,,,,,,,,,,5,124750,42,42,50000
Curators,13407.95208,,,,,"Education, Training, and Library",Job can be made virtual,53400,Institutional,,,,,,,,,,,,,,,,,5,127250,43,43,50000
Judicial Law Clerks,17732.95003,,,,,Legal Occupations,Job can be made virtual,53600,Institutional,,,,,,,,,,,,,,,,,5,129750,44,44,50000
Appraisers and Assessors of Real Estate,80724.38629,53,4005,500,109,Business and Financial Operations,Job can be made virtual,53700,Office,0.178981938,7,559,584,0,391,0,0,30000,78000,452,67,25,"(124.0, 20124.0]",1,"(41000, 43500]",5,132250,45,45,50000
Structural Iron and Steel Workers,81944.85609,,,,,Construction and Extraction,"Cannot work remotely, essential",53700,Industrial,,,,,,,,,,,,,,,,,5,134750,46,46,50000
"Therapists, All Other",35133.87031,,,,,Healthcare Practitioners and Technical,Job can be made virtual,53800,Institutional,,,,,,,,,,,,,,,,,5,137250,47,47,50000
"Rotary Drill Operators, Oil and Gas",18674.62559,,,,,Construction and Extraction,"Cannot work remotely, essential",53800,Industrial,,,,,,,,,,,,,,,,,5,139750,48,48,50000
Adult Basic and Secondary Education and Literacy Teachers and Instructors,67988.3906,,,,,"Education, Training, and Library",Job can be made virtual,54000,Institutional,,,,,,,,,,,,,,,,,5,142250,49,49,50000
Electricians,744281.1504,,,,,Construction and Extraction,"Cannot work remotely, essential",54000,Industrial,,,,,,,,,,,,,,,,,5,144750,50,50,50000
"Radio, Cellular, and Tower Equipment Installers and Repairs",17676.83156,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",54000,Industrial,,,,,,,,,,,,,,,,,5,147250,51,51,50000
Crane and Tower Operators,47213.83189,,,,,Transportation and Material Moving,"Cannot work remotely, essential",54100,Industrial,,,,,,,,,,,,,,,,,5,149750,52,52,50000
"Sales Representatives, Services, All Other",1156362.543,,,,,Sales and Related,Job can be conducted virtually,54200,Office,,,,,,,,,,,,,,,,,5,152250,53,53,50000
"Patternmakers, Wood",958.0722889,,,,,Production,"Cannot work remotely, essential",54200,Industrial,,,,,,,,,,,,,,,,,5,154750,54,54,50000
Health Educators,60438.85898,170,5201,522,2332,Community and Social Service,Job can be made virtual,54300,Institutional,0.817098809,7,2125,1848,572,1211,148,0.065112187,24000,34000,1488,615,82,"(124.0, 20124.0]",1,"(23500, 26000]",5,157250,55,55,50000
Continuous Mining Machine Operators,15072.94264,,,,,Construction and Extraction,"Cannot work remotely, essential",54300,Industrial,,,,,,,,,,,,,,,,,5,159750,56,56,50000
"Tax Examiners and Collectors, and Revenue Agents",56836.16299,62,3603,7426,10874,Business and Financial Operations,Job can be conducted virtually,54400,Office,0.59420765,90,11581,9441,4590,6183,1067,0.084361164,29000,47000,7225,3145,1168,"(124.0, 20124.0]",1,"(38500, 41000]",5,162250,57,57,50000
Architectural and Civil Drafters,101431.6778,105,6103,4266,13843,Architecture and Engineering,Job can be conducted virtually,54700,Office,0.764426528,184,15419,13534,3299,10982,1518,0.089626262,27000,42000,2589,8592,1391,"(124.0, 20124.0]",1,"(33500, 36000]",5,164750,58,58,50000
Editors,131472.008,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,55000,Office,,,,,,,,,,,,,,,,,5,167250,59,59,50000
Postal Service Mail Carriers,329742.2473,,,,,Office and Admin Support,"Cannot work remotely, essential",55100,Institutional,,,,,,,,,,,,,,,,,5,169750,60,60,50000
Millwrights,46125.1696,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",55100,Industrial,,,,,,,,,,,,,,,,,5,172250,61,61,50000
Industrial Engineering Technicians,69051.65568,114,2300,26893,116825,Architecture and Engineering,"Cannot work remotely, essential",55300,Industrial,0.812876606,919,118241,98408,29558,73531,7195,0.057359929,26000,41000,82007,31112,11443,"(140124.0, 160124.0]",1,"(33500, 36000]",5,174750,62,62,50000
Postal Service Clerks,74381.11415,,,,,Office and Admin Support,"Cannot work remotely, essential",55300,Institutional,,,,,,,,,,,,,,,,,5,177250,63,63,50000
"Kindergarten Teachers, Except Special Education",132991.3966,,,,,"Education, Training, and Library",Job can be made virtual,55400,Institutional,,,,,,,,,,,,,,,,,5,179750,64,64,50000
"First-line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",420879.2844,,,,,Transportation and Material Moving,"Cannot work remotely, essential",55400,Industrial,,,,,,,,,,,,,,,,,5,182250,65,65,50000
"Rail Transportation Workers, All Other",2943.103987,,,,,Transportation and Material Moving,"Cannot work remotely, essential",55400,Industrial,,,,,,,,,,,,,,,,,5,184750,66,66,50000
Mechanical Drafters,59637.58265,107,5901,13257,1893,Architecture and Engineering,Job can be conducted virtually,55500,Industrial,0.124950495,180,12266,11688,2633,9170,962,0.072724524,22000,52000,4575,6147,557,"(124.0, 20124.0]",1,"(33500, 36000]",5,187250,67,67,50000
"Healthcare Practitioners and Technical Workers, All Other",38459.91156,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",55500,Institutional,,,,,,,,,,,,,,,,,5,189750,68,68,50000
First-Line Supervisors of Office and Administrative Support Workers,1528857.85,,,,,Office and Admin Support,Job can be conducted virtually,55700,Retail/Services,,,,,,,,,,,,,,,,,5,192250,69,69,50000
"Telecommunications Equipment Installers and Repairers, Except Line Installers",242107.1936,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",55700,Industrial,,,,,,,,,,,,,,,,,5,194750,70,70,50000
"Special Education Teachers, Preschool",26558.66575,,,,,"Education, Training, and Library",Job can be made virtual,55800,Institutional,,,,,,,,,,,,,,,,,5,197250,71,71,50000
"Extraction Workers, All Other",6795.646609,,,,,Construction and Extraction,"Cannot work remotely, essential",55800,Industrial,,,,,,,,,,,,,,,,,5,199750,72,72,50000
Rail Car Repairers,27195.63398,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",55800,Industrial,,,,,,,,,,,,,,,,,5,202250,73,73,50000
Mechanical Engineering Technicians,43129.88314,115,6402,78253,63698,Architecture and Engineering,"Cannot work remotely, essential",56000,Industrial,0.448732309,1058,105646,84681,40657,59218,11176,0.095666912,25000,47000,35336,54569,16839,"(140124.0, 160124.0]",1,"(33500, 36000]",5,204750,74,74,50000
Flight Attendants,120132.1395,,,,,Transportation and Material Moving,"Cannot work remotely, essential",56000,Other/Mixed,,,,,,,,,,,,,,,,,5,207250,75,75,50000
"Property, Real Estate, and Community Association Managers",296962.2874,31,2410,2662,1385,Management,Job can be made virtual,56100,Office,0.342228811,26,2983,2384,930,1951,308,0.093588575,42000,56000,2028,830,260,"(124.0, 20124.0]",1,"(48500, 51000]",5,209750,76,76,50000
"Educational, Guidance, School, and Vocational Counselors",302976.3516,161,2201,4364,6146,Community and Social Service,Job can be made virtual,56100,Institutional,0.584776403,117,8650,7662,2064,5949,510,0.055676856,20000,36000,563,7384,3163,"(124.0, 20124.0]",1,"(28500, 31000]",5,212250,77,77,50000
Court Reporters,18314.59112,,,,,Legal Occupations,Job can be made virtual,56100,Institutional,,,,,,,,,,,,,,,,,5,214750,78,78,50000
"Control and Valve Installers and Repairers, Except Mechanical Door",52908.80927,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",56100,Industrial,,,,,,,,,,,,,,,,,5,217250,79,79,50000
"Model Makers, Metal and Plastic",5745.092377,,,,,Production,"Cannot work remotely, essential",56100,Industrial,,,,,,,,,,,,,,,,,5,219750,80,80,50000
Mine Shuttle Car Operators,1780.695856,,,,,Transportation and Material Moving,"Cannot work remotely, essential",56100,Industrial,,,,,,,,,,,,,,,,,5,222250,81,81,50000
Healthcare Social Workers,173473.7147,167,6001,14440,28809,Community and Social Service,Job can be made virtual,56200,Office,0.666119448,357,36165,25147,15994,16891,3040,0.07754113,19200,35000,6994,25313,11068,"(40124.0, 60124.0]",1,"(26000, 28500]",5,224750,82,82,50000
Survey Researchers,13231.0333,140,4101,62181,62893,"Life, Physical, and Social Science",Job can be made virtual,56300,Office,0.502846315,1014,103078,77428,38515,57978,5593,0.051467273,24000,43000,27581,63946,16838,"(120124.0, 140124.0]",1,"(31000, 33500]",5,227250,83,83,50000
"Special Education Teachers, All Other",41887.05067,,,,,"Education, Training, and Library",Job can be made virtual,56700,Institutional,,,,,,,,,,,,,,,,,5,229750,84,84,50000
Rail-Track Laying and Maintenance Equipment Operators,16041.68033,,,,,Construction and Extraction,"Cannot work remotely, essential",56900,Industrial,,,,,,,,,,,,,,,,,5,232250,85,85,50000
Fundraisers,112770.8276,47,3702,2960,3291,Business and Financial Operations,Job can be made virtual,57000,Office,0.526475764,37,4247,3190,1840,2151,401,0.086273666,26700,60000,2298,1200,343,"(124.0, 20124.0]",1,"(43500, 46000]",5,234750,86,86,50000
Historians,4327.10323,148,2306,15670,12543,"Life, Physical, and Social Science",Job can be conducted virtually,57100,Office,0.444582285,259,23794,19420,7230,13651,1920,0.074667496,24000,40000,12777,9328,2042,"(20124.0, 40124.0]",1,"(28500, 31000]",5,237250,87,87,50000
Cardiovascular Technologists and Technicians,57654.48857,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",57100,Institutional,,,,,,,,,,,,,,,,,5,239750,88,88,50000
"Plant and System Operators, All Other",13490.55887,,,,,Production,"Cannot work remotely, essential",57100,Industrial,,,,,,,,,,,,,,,,,5,242250,89,89,50000
Miscellaneous Mathematical Science Occupations,2349.788467,82,2106,6607,1459,Computer and Mathematical,Job can be made virtual,57200,Office,0.180882718,103,6509,6289,1030,4936,721,0.099723375,25000,50000,2354,3244,308,"(124.0, 20124.0]",1,"(36000, 38500]",5,244750,90,90,50000
"Precision Instrument and Equipment Repairers, All Other",12834.23028,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, non-essential",57200,Industrial,,,,,,,,,,,,,,,,,5,247250,91,91,50000
"Railroad Brake, Signal, and Switch Operators",14018.01091,,,,,Transportation and Material Moving,"Cannot work remotely, essential",57300,Industrial,,,,,,,,,,,,,,,,,5,249750,92,92,50000
Electro-Mechanical Technicians,14850.60145,112,1302,3156,451,Architecture and Engineering,"Cannot work remotely, essential",57600,Industrial,0.125034655,48,3007,2473,891,1763,322,0.096725743,28600,48000,1096,1692,327,"(124.0, 20124.0]",1,"(33500, 36000]",5,252250,93,93,50000
"Agents and Business Managers of Artists, Performers, and Athletes",22831.72617,35,6107,21773,187621,Business and Financial Operations,Job can be conducted virtually,57700,Office,0.896018988,2554,180903,151191,40818,122817,8497,0.044862724,39000,58000,151643,26146,6193,"(200124.0, 220124.0]",1,"(46000, 48500]",5,254750,94,94,50000
Fish and Game Wardens,6415.776175,,,,,Protective Service,Job can be made virtual,57700,Institutional,,,,,,,,,,,,,,,,,5,257250,95,95,50000
Telecommunications Line Installers and Repairers,126452.5842,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",57700,Industrial,,,,,,,,,,,,,,,,,5,259750,96,96,50000
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1437227.123,,,,,Sales and Related,Job can be made virtual,57800,Office,,,,,,,,,,,,,,,,,5,262250,97,97,50000
"Roof Bolters, Mining",3387.35136,,,,,Construction and Extraction,"Cannot work remotely, essential",57900,Industrial,,,,,,,,,,,,,,,,,5,264750,98,98,50000
"Elementary School Teachers, Except Special Education",1416077.429,,,,,"Education, Training, and Library",Job can be made virtual,58000,Institutional,,,,,,,,,,,,,,,,,5,267250,99,99,50000
Physical Therapist Assistants,95425.09316,,,,,Healthcare Support,Job can be made virtual,58100,Institutional,,,,,,,,,,,,,,,,,5,269750,100,100,50000
Pile-Driver Operators,3900.950364,,,,,Construction and Extraction,"Cannot work remotely, essential",58100,Industrial,,,,,,,,,,,,,,,,,5,272250,101,101,50000
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",69766.22213,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",58100,Industrial,,,,,,,,,,,,,,,,,5,274750,102,102,50000
Forensic Science Technicians,18221.97443,158,3402,2013,4639,"Life, Physical, and Social Science","Cannot work remotely, essential",58200,Lab,0.697384245,49,5052,3565,2225,2661,372,0.068584071,20000,49000,1168,3354,1141,"(124.0, 20124.0]",1,"(28500, 31000]",5,277250,103,103,50000
Animal Scientists,3175.524794,118,2311,9950,10248,"Life, Physical, and Social Science",Job can be made virtual,58300,Lab,0.507376968,157,17700,14002,5168,8871,1012,0.054082941,23050,42000,10928,5561,1806,"(20124.0, 40124.0]",1,"(33500, 36000]",5,279750,104,104,50000
"Middle School Teachers, Except Special and Career/Technical Education",608202.8055,,,,,"Education, Training, and Library",Job can be made virtual,58400,Institutional,,,,,,,,,,,,,,,,,5,282250,105,105,50000
"Legal Support Workers, All Other",50504.16856,,,,,Legal Occupations,Job can be conducted virtually,58800,Office,,,,,,,,,,,,,,,,,5,284750,106,106,50000
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",99340.02065,,,,,Office and Admin Support,"Cannot work remotely, essential",58800,Institutional,,,,,,,,,,,,,,,,,5,287250,107,107,50000
Construction and Building Inspectors,114625.6422,,,,,Construction and Extraction,Job can be made virtual,58800,Industrial,,,,,,,,,,,,,,,,,5,289750,108,108,50000
"Career/Technical Education Teachers, Middle School",13012.48881,,,,,"Education, Training, and Library",Job can be made virtual,59100,Institutional,,,,,,,,,,,,,,,,,5,292250,109,109,50000
Librarians,124406.7124,,,,,"Education, Training, and Library",Job can be made virtual,59100,Institutional,,,,,,,,,,,,,,,,,5,294750,110,110,50000
Executive Secretaries and Executive Administrative Assistants,594367.1582,,,,,Office and Admin Support,Job can be conducted virtually,59300,Office,,,,,,,,,,,,,,,,,5,297250,111,111,50000
"Special Education Teachers, Kindergarten and Elementary School",178818.7742,,,,,"Education, Training, and Library",Job can be made virtual,59400,Institutional,,,,,,,,,,,,,,,,,5,299750,112,112,50000
Electrical and Electronics Drafters,27597.53393,106,2001,11431,6604,Architecture and Engineering,Job can be conducted virtually,59500,Industrial,0.366176878,208,14779,11981,4690,9085,2006,0.119511469,25000,45000,4545,8794,2495,"(124.0, 20124.0]",1,"(33500, 36000]",5,302250,113,113,50000
Radiologic Technologists,208274.3549,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",59600,Institutional,,,,,,,,,,,,,,,,,5,304750,114,114,50000
Film and Video Editors,39073.88167,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,59700,Office,,,,,,,,,,,,,,,,,5,307250,115,115,50000
First-Line Supervisors of Production and Operating Workers,638018.1438,,,,,Production,"Cannot work remotely, essential",59900,Industrial,,,,,,,,,,,,,,,,,5,309750,116,116,50000
Art Directors,85092.59866,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,60000,Office,,,,,,,,,,,,,,,,,6,22250,1,1,60000
Anthropologists and Archaeologists,7571.345803,146,5200,86648,307087,"Life, Physical, and Social Science",Job can be made virtual,60100,Lab,0.779933204,2584,307933,233205,115172,174438,28169,0.083810867,24000,41000,125148,141860,48207,,1,"(31000, 33500]",6,24750,2,2,60000
Public Relations Specialists,258078.7058,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,60100,Office,,,,,,,,,,,,,,,,,6,27250,3,3,60000
"Secondary School Teachers, Except Special and Career/Technical Education",1050837.331,,,,,"Education, Training, and Library",Job can be made virtual,60200,Institutional,,,,,,,,,,,,,,,,,6,29750,4,4,60000
"Career/Technical Education Teachers, Secondary School",75698.82444,,,,,"Education, Training, and Library",Job can be made virtual,60200,Institutional,,,,,,,,,,,,,,,,,6,32250,5,5,60000
"Special Education Teachers, Middle School",85005.85746,,,,,"Education, Training, and Library",Job can be made virtual,60200,Institutional,,,,,,,,,,,,,,,,,6,34750,6,6,60000
Occupational Therapy Assistants,43825.83799,,,,,Healthcare Support,Job can be made virtual,60200,Institutional,,,,,,,,,,,,,,,,,6,37250,7,7,60000
"Arbitrators, Mediators, and Conciliators",7522.856647,,,,,Legal Occupations,Job can be made virtual,60300,Office,,,,,,,,,,,,,,,,,6,39750,8,8,60000
Respiratory Therapists,130296.5465,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",60300,Institutional,,,,,,,,,,,,,,,,,6,42250,9,9,60000
"Electrical and Electronics Installers and Repairers, Transportation Equipment",13967.3549,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",60300,Industrial,,,,,,,,,,,,,,,,,6,44750,10,10,60000
Dietitians and Nutritionists,71207.90433,,,,,Healthcare Practitioners and Technical,Job can be made virtual,60400,Institutional,,,,,,,,,,,,,,,,,6,47250,11,11,60000
Stationary Engineers and Boiler Operators,37334.46642,,,,,Production,"Cannot work remotely, essential",60400,Industrial,,,,,,,,,,,,,,,,,6,49750,12,12,60000
"Special Education Teachers, Secondary School",138363.3258,,,,,"Education, Training, and Library",Job can be made virtual,60600,Institutional,,,,,,,,,,,,,,,,,6,52250,13,13,60000
Real Estate Brokers,124868.9109,,,,,Sales and Related,Job can be made virtual,60600,Office,,,,,,,,,,,,,,,,,6,54750,14,14,60000
Human Resources Specialists,652633.3589,41,6201,94519,104114,Business and Financial Operations,Job can be conducted virtually,61000,Office,0.524152583,2042,165527,151967,27693,123169,12411,0.069749014,34000,56000,11417,39323,10886,"(180124.0, 200124.0]",1,"(43500, 46000]",6,57250,15,15,60000
Training and Development Specialists,303715.8344,49,3607,515,1247,Business and Financial Operations,Job can be conducted virtually,61000,Office,0.707718502,3,1144,657,532,565,107,0.085531575,40000,45000,603,478,93,"(124.0, 20124.0]",1,"(43500, 46000]",6,59750,16,16,60000
Conservation Scientists,24586.48045,125,5507,32510,82923,"Life, Physical, and Social Science",Job can be made virtual,61000,Lab,0.718364766,1024,92721,73475,29639,56561,8608,0.084951001,25000,44000,29051,48899,13748,"(100124.0, 120124.0]",1,"(31000, 33500]",6,62250,17,17,60000
Foresters,10033.63417,126,1903,24704,28120,"Life, Physical, and Social Science","Cannot work remotely, essential",61000,Other/Mixed,0.532333788,590,44679,35769,13078,27521,4410,0.089836827,25000,45000,12855,25297,6429,"(40124.0, 60124.0]",1,"(31000, 33500]",6,64750,18,18,60000
Police and Sheriff's Patrol Officers,734812.6793,,,,,Protective Service,"Cannot work remotely, essential",61400,Institutional,,,,,,,,,,,,,,,,,6,67250,19,19,60000
First-Line Supervisors of Construction Trades and Extraction Workers,718786.7246,,,,,Construction and Extraction,"Cannot work remotely, essential",61400,Industrial,,,,,,,,,,,,,,,,,6,69750,20,20,60000
Buyers and Purchasing Agents,430102.0675,36,6207,115030,59476,Business and Financial Operations,Job can be made virtual,61700,Office,0.340824957,2189,145696,137921,21463,108595,9413,0.060686356,35000,64000,24243,48447,9910,"(160124.0, 180124.0]",1,"(46000, 48500]",6,72250,21,21,60000
First-Line Supervisors of Non-Retail Sales Workers,357880.392,,,,,Sales and Related,"Cannot work remotely, non-essential",61700,Retail/Services,,,,,,,,,,,,,,,,,6,74750,22,22,60000
"Social Workers, All Other",87293.70768,169,3609,3050,5359,Community and Social Service,Job can be made virtual,61800,Office,0.637293376,47,6259,5043,2190,3602,304,0.04632028,20000,39000,2771,2947,743,"(124.0, 20124.0]",1,"(23500, 26000]",6,77250,23,23,60000
"Insurance Appraisers, Auto Damage",16839.17772,38,6205,7575,5727,Business and Financial Operations,Job can be made virtual,62100,Office,0.430536761,199,10914,10048,1937,8000,1165,0.096448381,33000,58000,1578,4612,1284,"(124.0, 20124.0]",1,"(43500, 46000]",6,79750,24,24,60000
Surveyors,47961.45337,86,5004,5813,5159,Architecture and Engineering,"Cannot work remotely, non-essential",62100,Office,0.470196865,78,8296,6966,2913,5008,677,0.075448568,28000,47000,4858,2792,959,"(124.0, 20124.0]",1,"(36000, 38500]",6,82250,25,25,60000
Chemical Plant and System Operators,30327.90598,,,,,Production,"Cannot work remotely, essential",62100,Industrial,,,,,,,,,,,,,,,,,6,84750,26,26,60000
Locomotive Engineers,34251.30214,,,,,Transportation and Material Moving,"Cannot work remotely, essential",62100,Industrial,,,,,,,,,,,,,,,,,6,87250,27,27,60000
Boilermakers,15512.08748,,,,,Construction and Extraction,"Cannot work remotely, essential",62200,Industrial,,,,,,,,,,,,,,,,,6,89750,28,28,60000
Web Developers,165317.2778,71,5205,1075,1939,Computer and Mathematical,Job can be conducted virtually,62400,Office,0.643331121,24,2343,1644,1095,1409,286,0.108786611,32000,53000,559,1224,272,"(124.0, 20124.0]",1,"(38500, 41000]",6,92250,29,29,60000
Fire Inspectors and Investigators,13354.90463,,,,,Protective Service,"Cannot work remotely, essential",62500,Institutional,,,,,,,,,,,,,,,,,6,94750,30,30,60000
Market Research Analysts and Marketing Specialists,680914.8826,50,5006,752,1666,Business and Financial Operations,Job can be conducted virtually,62700,Office,0.688999173,36,1638,1931,379,1595,99,0.056994819,23000,50000,459,996,186,"(124.0, 20124.0]",1,"(43500, 46000]",6,97250,31,31,60000
Computer Network Support Specialists,199312.6108,76,5701,1869,566,Computer and Mathematical,Job can be conducted virtually,62700,Office,0.232443532,37,2107,2057,287,1752,64,0.029479503,22500,45000,221,1659,81,"(124.0, 20124.0]",1,"(36000, 38500]",6,99750,32,32,60000
Aircraft Mechanics and Service Technicians,195500.8505,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",62800,Industrial,,,,,,,,,,,,,,,,,6,102250,33,33,60000
Railroad Conductors and Yardmasters,42632.74406,,,,,Transportation and Material Moving,"Cannot work remotely, essential",62900,Industrial,,,,,,,,,,,,,,,,,6,104750,34,34,60000
"Compensation, Benefits, and Job Analysis Specialists",84572.93918,48,3701,2794,2145,Business and Financial Operations,Job can be conducted virtually,63000,Office,0.434298441,45,3854,3465,1176,2593,385,0.090823307,34000,63000,2437,803,357,"(124.0, 20124.0]",1,"(43500, 46000]",6,107250,35,35,60000
Loan Officers,307699.0352,61,6108,8697,14854,Business and Financial Operations,Job can be conducted virtually,63000,Office,0.630716318,38,16620,12537,5346,9131,977,0.055520827,20000,90000,11573,4493,1121,"(20124.0, 40124.0]",1,"(38500, 41000]",6,109750,36,36,60000
"Engineering Technicians, Except Drafters, All Other",88917.03341,116,2602,12835,35411,Architecture and Engineering,"Cannot work remotely, essential",63000,Industrial,0.733967583,342,38315,29340,14569,20056,3132,0.075566386,25000,45000,15051,18193,5267,"(40124.0, 60124.0]",1,"(33500, 36000]",6,112250,37,37,60000
First-Line Supervisors of Correctional Officers,44292.62981,,,,,Protective Service,"Cannot work remotely, essential",63300,Institutional,,,,,,,,,,,,,,,,,6,114750,38,38,60000
Zoologists and Wildlife Biologists,19726.82513,123,3699,4747,5959,"Life, Physical, and Social Science",Job can be made virtual,63400,Lab,0.556603774,63,7767,6076,2568,4542,483,0.058545455,23000,48000,4253,2722,459,"(124.0, 20124.0]",1,"(31000, 33500]",6,117250,39,39,60000
"Makeup Artists, Theatrical and Performance",3640.508194,,,,,Personal Care and Service,"Cannot work remotely, non-essential",63500,Retail/Services,,,,,,,,,,,,,,,,,6,119750,40,40,60000
Cost Estimators,221429.928,40,5102,528,1588,Business and Financial Operations,Job can be conducted virtually,63700,Office,0.75047259,31,1778,1392,579,1115,137,0.07154047,38000,53000,162,1475,124,"(124.0, 20124.0]",1,"(43500, 46000]",6,122250,41,41,60000
Soil and Plant Scientists,17343.66127,120,2305,3872,10365,"Life, Physical, and Social Science",Job can be made virtual,63700,Lab,0.728032591,123,13115,11259,2273,8073,216,0.016202835,30000,40000,10699,1977,786,"(124.0, 20124.0]",1,"(33500, 36000]",6,124750,42,42,60000
"Securities, Commodities, and Financial Services Sales Agents",449050.1098,,,,,Sales and Related,Job can be conducted virtually,63700,Office,,,,,,,,,,,,,,,,,6,127250,43,43,60000
Locomotive Firers,486.5195738,,,,,Transportation and Material Moving,"Cannot work remotely, essential",63800,Industrial,,,,,,,,,,,,,,,,,6,129750,44,44,60000
Avionics Technicians,33891.76321,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",64100,Industrial,,,,,,,,,,,,,,,,,6,132250,45,45,60000
Social and Community Service Managers,175658.8894,32,2500,2695,905,Management,Job can be conducted virtually,64200,Office,0.251388889,39,2799,2257,689,1723,163,0.055030385,43000,60000,1017,1269,142,"(124.0, 20124.0]",1,"(48500, 51000]",6,134750,46,46,60000
Electrical and Electronics Engineering Technicians,132614.1326,111,5002,2744,1299,Architecture and Engineering,"Cannot work remotely, essential",64200,Industrial,0.321296067,32,3431,2659,1309,2161,78,0.022228555,28000,50000,1808,1317,237,"(124.0, 20124.0]",1,"(33500, 36000]",6,137250,47,47,60000
Cartographers and Photogrammetrists,13227.31332,85,2107,5291,2322,Architecture and Engineering,Job can be made virtual,64300,Office,0.305004597,97,6144,5495,1447,4369,1100,0.151849807,27000,49000,2593,2941,352,"(124.0, 20124.0]",1,"(36000, 38500]",6,139750,48,48,60000
Commercial and Industrial Designers,37485.25715,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,64500,Office,,,,,,,,,,,,,,,,,6,142250,49,49,60000
Instructional Coordinators,170588.3703,,,,,"Education, Training, and Library",Job can be made virtual,65100,Institutional,,,,,,,,,,,,,,,,,6,144750,50,50,60000
Food Scientists and Technologists,14529.36162,119,6110,4103,15632,"Life, Physical, and Social Science",Job can be made virtual,65200,Lab,0.792095262,130,14512,10099,6377,7460,1833,0.112144387,21000,45000,5225,7385,1854,"(124.0, 20124.0]",1,"(33500, 36000]",6,147250,51,51,60000
Gas Compressor and Gas Pumping Station Operators,4531.420946,,,,,Transportation and Material Moving,"Cannot work remotely, essential",65200,Industrial,,,,,,,,,,,,,,,,,6,149750,52,52,60000
Landscape Architects,23736.61685,84,3602,626,703,Architecture and Engineering,Job can be made virtual,65400,Office,0.52896915,9,1010,946,169,740,0,0,26000,40000,677,184,56,"(124.0, 20124.0]",1,"(36000, 38500]",6,152250,53,53,60000
Broadcast News Analysts,6981.797147,,,,,"Arts, Design, Entertainment, Media",Job can be conducted virtually,65400,Office,,,,,,,,,,,,,,,,,6,154750,54,54,60000
"Claims Adjusters, Examiners, and Investigators",300041.5498,37,5501,89749,49498,Business and Financial Operations,Job can be made virtual,65600,Office,0.355469059,1322,104117,96567,25325,70740,11452,0.099092317,35000,65000,25582,37057,10653,"(120124.0, 140124.0]",1,"(46000, 48500]",6,157250,55,55,60000
